/2:28397
"it/1:21125
"may/2:36842
$10/1:10465
$25/1:20876
&amp/6:22329
154,800,000/1:35288
154.0/3:7496
154.1/1:36785
154.2/1:39882
154.3/1:13118
154.4/1:2669
154.5/4:23822
154.6/3:15925
154.67/1:32966
154.7/2:16941
154.82/1:38589
155/10:6332
155,000/4:20651
155,050/1:16739
155,089/1:14223
155,221/1:48
155,383/1:37949
155,410/1:16967
155,467,000/1:13067
155,764/2:23683
155,980/1:36137
155-3/4/1:33964
155.0/2:26787
155.1/3:16028
155.2/1:40091
155.37/1:25054
155.38/1:15793
155.8/1:20640
155.83/1:31123
155.9/1:29416
156/2:9621
156,000/3:16343
156,000,000/1:35285
156,098/1:33361
156,124/1:19031
156,200,000/1:36471
156,400/1:9933
156,576/1:30468
156,726/2:16439
156-1/2/1:9201
156.0/2:32547
156.1/1:27412
156.2/1:29902
156.4/1:40092
156.5/1:8500
156.6/1:20861
156.7/2:20171
156.71/1:36071
156.94/1:29950
157/8:3639
157,000/2:33791
157,040/1:13441
157,100/1:40196
157,500/2:20961
157,688/1:38501
157,690/1:13785
157.2/1:32206
157.40/1:16595
157.5/2:38911
157.6/2:11854
157.60/1:16594
157.9/1:36688
158/6:22812
158,000/4:30589
158,109/1:22272
158,119/1:29587
158,400/1:18165
158,491)/1:15119
158.1/1:26561
158.4/1:31695
158.52/1:25058
158.7/1:12416
159/4:15446
159)/1:18212
159,000/5:8691
159,350)/1:29588
159,453/1:39331
159,732/1:36131
159,784/1:30935
159.09/1:36070
159.2/1:34099
159.4/1:7497
159.6/2:11809
159.9/1:20860
15:35:42.66/1:20966
15p/1:40043
15th/1:29501
16/279:1205
16,000/8:3964
16,000/19,000/1:14671
16,074,000/1:36927
16,085,000/1:14811
16,173,000/1:39284
16,185,354/1:5433
16,200/1:27927
16,288/1:10821
16,300/1:15715
16,411,000/1:17817
16,465,000/1:15529
16,500/2:10958
16,524,000/1:42035
16,556,000/1:38113
16,568,000/1:35900
16,577/1:4141
16,601/1:4148
16,627/1:22249
16,676,000/1:17812
16,701,000/1:40176
16,760/1:25974
16,800/2:14685
16,800,000/1:27689
16,817,618/1:32081
16,818/1:25565
16,848/1:36326
16,900,000/1:14186
16,945,000/1:31763
16-1/2/1:37658
16-1/4/2:14003
16-18/1:21971
16-23/3/1:25826
16-30/2:23139
16-5/8/1:37873
16-inch/2:23067
16-mar-1987/2:31799
16-member/1:8253
16.0/13:8135
16.00/4:16470
16.02/1:38482
16.04/2:38457
16.05/1:21280
16.06/2:12838
16.07/1:31406
16.08/1:28178
16.09/1:42742
16.0p/1:26651
16.1/22:8094
16.11/1:35887
16.12/1:38877
16.13/2:26080
16.15/4:3572
16.16/2:17610
16.18/1:33103
16.2/18:8967
16.23/1:13279
16.24/1:24127
16.25/2:28053
16.28/1:30670
16.3/19:573
16.30/1:38786
16.32/1:42205
16.332/1:26121
16.34/1:29966
16.35/1:32049
16.39/2:21279
16.3p/2:26473
16.4/15:8369
16.40/1:31523
16.42-16.45/1:32991
16.43/3:34424
16.432/1:13280
16.45/1:36004
16.49/1:35886
16.5/19:6199
16.50/13:2742
16.6/20:745
16.60/3:10390
16.62/1:33001
16.63/1:8527
16.65/1:32992
16.66/1:33134
16.67/2:10256
16.68/1:28749
16.69/1:22219
16.7/23:2817
16.71/1:36006
16.72/1:37693
16.74/3:346
16.75/1:26108
16.77/1:15807
16.8/20:2829
16.81/1:10366
16.85/2:21513
16.9/16:8002
16.90/1:40936
16.93/1:4435
16.98/1:42594
16.99/2:18422
16/25/1:26609
160/32:6322
160,000/11:9749
160,109/1:19033
160,160/2:3825
160,431/1:30486
160,700/1:32561
160,893/1:5620
160.14/1:4437
160.2/2:3658
160.3/2:33341
160.5/1:7926
160.60/1:12700
160.7/1:26506
160.8/1:15776
1600/4:13207
160s/1:33969
161/7:4429
161,000/7:2465
161,019/2:27238
161,360/1:13437
161.1/1:36599
161.5/2:38122
161.58/1:39209
161.6/2:20739
161.7/1:9908
161.9/1:25970
162/4:15441
162,000/3:14630
162,046-ton/2:39483
162,300/1:6197
162,500/1:23732
162,600/1:35450
162.1/1:37517
162.3/1:30770
162.4/1:29148
162.5/1:27208
163/3:19928
163,119/1:14959
163,150/1:29585
163,200/1:33798
163,304/1:15127
163,800/1:19741
163,832/1:27329
163,840/1:35551
163,924/1:38737
163,932/2:31956
163.0/1:41381
163.2/1:28171
163.7/1:38281
163.8/2:7059
1630/3:16625
164/3:18211
164)/1:15445
164,000/9:14275
164,200/1:9932
164,243/1:36138
164,252)/1:14960
164,300/1:9925
164,500/1:9924
164,553/1:41666
164.1/3:27040
164.10/1:15794
164.3/1:7000
164.4/1:17192
164.6/1:33547
164.9/1:34104
165/10:6321
165,000/5:7156
165,508/1:14635
165,600/2:35376
165,798/1:29615
165,859/1:40033
165,968/1:28711
165.2/1:35433
165.3/1:29874
165.36/1:14426
165.4-r/1:13537
165.5/1:32515
1650/1:13927
166/7:15444
166,000/5:737
166,750/1:17261
166,968/1:36139
166.0/1:30769
166.1/1:33552
166.3/2:10845
166.4/1:38581
166.8/1:30776
167/4:37750
167)/1:15440
167,700/1:6800
167,747/1:38739
167.0/1:27131
167.2/1:10589
167.7/1:31827
167.9/3:20280
168/11:707
168,000/2:21865
168,100/1:14066
168,682/1:25569
168.2/1:41799
168.4/1:21240
168.5/1:30069
168.6/2:11853
168.7/1:38000
168.8/2:24574
169/12:8302
169,275/2:27242
169,888/1:23568
169-billion-dlr/1:38558
169.1/3:7720
169.2/1:40806
169.3/1:32546
169.4/1:16029
169.49/1:7120
169.5/1:37853
169.56/1:7121
169.7/1:26550
169.8/6:3335
16:24:53.34/1:18109
16:36:25.80/1:18150
16:46:14.77/1:19910
16p/1:13155
16th/1:24331
17/284:913
17)/1:27506
17,000/10:7404
17,032,000/1:17815
17,049,920/1:19609
17,050/1:16063
17,071,236/1:39759
17,156/1:19886
17,159,000/1:40177
17,210/1:42637
17,259,000/1:15951
17,334/2:29368
17,359/1:25430
17,400,000)/1:16069
17,403)/2:14973
17,458/1:23656
17,552/1:25395
17,583/1:5459
17,600)/1:27928
17,644,000/1:14810
17,683/1:8902
17,744,333/1:39758
17,800/2:28166
17,818/1:14087
17,830/1:37377
17,929/1:38028
17,946,000/1:5917
17,978/1:16844
17-1/2/4:1281
17-1/4/3:27881
17-mar-1987/1:34114
17.0/8:13960
17.00/8:17772
17.01/1:21673
17.04/1:9224
17.05/3:14227
17.07/1:31410
17.0p/1:4081
17.1/17:5628
17.14/2:9769
17.15/1:20827
17.15p/1:31498
17.17/1:41157
17.18/1:344
17.2/11:8877
17.20/1:28872
17.25/6:10523
17.257/1:40879
17.27/1:40468
17.3/17:14060
17.30/3:26079
17.31/1:42333
17.35/4:21274
17.4/16:13143
17.40/1:9768
17.42/1:28869
17.48/1:16497
17.4p/1:39975
17.5/25:1994
17.5-mile/1:23066
17.50/17:24300
17.51/1:33105
17.52/1:24094
17.5p/2:13157
17.6/25:2000
17.60/1:24298
17.68/1:37395
17.7/8:21898
17.71/2:26077
17.72/1:26078
17.75/6:18579
17.77/3:9773
17.8/22:10806
17.80/1:42328
17.817/2:24585
17.82/1:10136
17.85/5:26217
17.9/10:6524
17.93/1:40038
17.95/1:37357
17.9p/1:41344
17/64/1:26975
170/34:1948
170,000/12:2525
170,177/1:34982
170,250/1:18260
170,709/1:20589
170,800/1:41387
170,866/2:32600
170-kg/1:28658
170-year-old/2:31268
170.1/1:22377
170.4/1:42571
170.5/2:37631
170.9/2:23873
1700/4:30755
171/7:17875
171,000/1:6169
171,034/1:16368
171,600/1:41388
171.03/1:40420
171.05/1:39913
171.1/1:32879
171.2/1:27058
171.3/1:33634
171.31/1:42410
171.6/1:15553
171.7/2:33757
171.9/2:22408
1715/1:38940
172/3:29863
172,000/2:25883
172,100/1:25548
172,166/1:30629
172.0/3:8604
172.29/1:18595
172.3/1:37999
172.56/2:18876
172.8/1:33166
172.9/1:41448
173/7:3835
173,000/6:17259
173,060/1:14957
173,500/2:24971
173,578/1:8035
173,948/1:35555
173.3/1:23677
173.4/2:21482
173.5/1:34103
173.50/2:9772
173.7/1:13821
173.8/1:28096
174/4:9669
174,000/3:3325
174,158/1:27229
174,373/2:29375
174,390/1:6012
174,500/1:26620
174,562/1:14088
174,668/1:39330
174-182/1:13591
174.1/3:39872
174.2/1:31757
174.3/1:28234
174.7/2:15945
174.8/1:38009
175/11:12043
175,000/4:21755
175,247/1:29843
175,476/1:38047
175,691/1:18686
175,866/1:39329
175,901/1:23638
175,928/1:29619
175-180/1:17306
175.2/2:34754
175.3/1:39316
175.4/1:22600
175.84/1:12699
175.9/1:2666
176/2:30327
176,000/1:28958
176,287/1:15124
176,344/1:22245
176,639/1:24186
176.1/1:30070
176.3/1:22924
176.4/1:13672
176.87/1:24119
177/4:16452
177,000/4:27681
177,061/1:13824
177,243/1:41139
177.1/1:12698
177.30/1:6151
177.5/3:11807
177.54/1:17603
177.70/1:37967
177.8/1:4684
177.87/1:29951
177.9/1:26193
177.95/1:30663
178/5:22436
178,000/1:14091
178,101/1:36670
178,437/1:41074
178,500/3:7449
178,507/1:42919
178,800/1:2551
178,919/2:17896
178.1/3:39995
178.2/2:32898
178.3/1:9809
178.69/1:28963
178.8/2:20642
179/1:30167
179,000/2:8374
179,328)/1:16090
179,839/2:29371
179.4/1:39046
179.44/1:42520
179.6/1:15261
17:01:06.32/1:19944
17:02:48.51/1:19945
17:17:34.97/1:19993
17:25:13.75/1:19999
17:39:30.41/1:15460
17th/1:9378
18/289:1360
18,000/8:1602
18,003,000/1:22290
18,042,000/1:15953
18,065/1:15087
18,100/1:27929
18,127,000/1:19868
18,191/1:24267
18,230/1:41093
18,269,000/1:22295
18,306,000/1:34213
18,335)/1:15105
18,345/1:32569
18,367/1:25429
18,371,000/1:17814
18,467/1:36258
18,600,000/1:42139
18,616/1:25973
18,679,090/1:41071
18,688,000/1:39336
18,700/1:18167
18,750,000/1:1109
18,778/1:38026
18,800/1:18169
18,810,000/1:8983
18,876/1:5453
18,941,000/1:18863
18-3/4/3:17962
18-april/1:19858
18-dlr-a-shar/1:5011
18-mar-1987/1:35453
18-month/2:31540
18.0/13:5969
18.00/3:9164
18.002/1:40932
18.01/1:10023
18.05/1:38984
18.09/1:8529
18.1/11:12409
18.125/1:37623
18.15/1:24287
18.1p/1:13140
18.2/20:9964
18.25/10:3630
18.3/7:3322
18.330/1:24586
18.34/1:21453
18.4/14:5775
18.40/1:34679
18.42/1:8533
18.45/1:21383
18.49/1:38950
18.5/23:3631
18.50/6:9163
18.50-dlr-a-shar/1:14020
18.53/3:3509
18.55/1:39906
18.59/1:9777
18.6/8:13828
18.60/2:1516
18.62/1:8518
18.64/1:32761
18.7/14:4964
18.72/2:6885
18.75/3:9162
18.77/1:39856
18.78/1:41360
18.8/11:8368
18.80/1:8054
18.84/1:19978
18.845/1:40880
18.89/2:8522
18.9/11:3596
18.92/1:24299
18.924/1:37228
180/22:9561
180,000/13:3309
180,047/1:16529
180,444/1:12909
180-270/1:22399
180-day/2:24932
180.4/2:13147
180.6/1:38828
1800/1:28863
181/5:23083
181,228)/1:29584
181,900/2:29515
181-360/1:17307
181.1/1:33980
181.2/1:10804
181.23/1:36038
181.4/1:27111
181.5/3:32516
181p/1:26588
182/6:23194
182,000/2:30359
182,042/1:29583
182,173/1:20654
182,766/1:18556
182,839/1:34042
182,900/1:26619
182,959/1:23641
182-195/1:17175
182.0/1:10805
182.1/1:28133
182.2/4:32207
182.3/1:20044
182.4/1:33559
182.5/1:18098
182.6/3:6694
183/5:14949
183,000/3:21534
183,500/1:19740
183,597/1:19761
183,850/1:23063
183-349/1:13593
183.2/1:35829
183.4/1:13163
183.68/1:4442
183.8/2:10273
184/3:18017
184,000/2:17819
184,062/1:34129
184,649,000/1:34929
184,777/1:34986
184.0/1:26746
184.1/1:13538
184.2/2:40083
184.3/1:20229
184.4/1:37813
184.55/1:32967
184.6/1:33855
184.9/2:3676
185/10:3799
185,000/5:3312
185,325/1:18757
185,400/1:38848
185,900,000/1:30315
185.1/1:5655
185.2/1:23368
185.3/2:26518
185.6/1:13679
185.7/2:23886
185.9/1:38121
1850/1:24463
186/6:22127
186,000/4:13313
186,300/1:28188
186,655/1:28836
186,790,000/1:35186
186.2/2:24725
186.4/1:2235
186.5/1:29610
186.8/2:9912
1866/1:17231
187/3:11721
187,000/1:8891
187,893/1:8120
187.0/1:39127
187.1/1:10466
187.2/1:34793
187.3/1:15385
187.5/1:41101
187.6/1:37516
187.63/1:39208
187.7/1:3013
187p/1:26587
188/6:14421
188,000/4:16445
188,362/1:30622
188,713/1:23485
188.0/1:13536
188.1/2:6699
188.52/1:40421
188.54/1:25053
188.6/1:16958
188.8/1:18179
188.9/1:31674
1881/1:22560
189/3:5646
189,000/2:8896
189,140/1:15054
189,388/1:13492
189,683/2:33830
189,800)/1:25549
189.1/1:15944
189.4/1:40492
189.8/1:33919
1896/1:36121
18:11:48.24/1:15465
18p/1:25754
18th/1:34675
19/191:522
19,000/7:18814
19,000-plu/1:28346
19,025,000/1:22291
19,027,000/1:36339
19,050/1:13357
19,078,072/1:40768
19,079/1:25396
19,100/1:5523
19,102/1:4140
19,115/1:18947
19,163/1:41691
19,174/1:39390
19,175,931/1:36939
19,186,000/1:36686
19,213,000/1:39338
19,217/1:28266
19,259,000/1:32019
19,327/1:13317
19,369/1:12318
19,488,587/2:30829
19,497,000/1:22296
19,500/1:9900
19,585/1:4144
19,741/1:25106
19,800/1:25526
19,846/1:24239
19,950,000/1:18004
19,962,000/1:5014
19-1/2/2:1273
19-1/4/1:15531
19-22/3:31209
19-24/1:2301
19-mar-1987/1:36181
19.0/11:8685
19.00/1:26076
19.05/1:9329
19.1/14:5653
19.15/1:41156
19.16/1:8520
19.17/1:41262
19.19/1:16896
19.1p/1:34537
19.2/12:5438
19.22/2:38528
19.25/2:8053
19.3/11:10405
19.31/1:22117
19.4/15:558
19.40/1:8539
19.5/18:5654
19.50/3:9161
19.54/1:32181
19.56/1:33108
19.58/2:8524
19.6/17:389
19.60/1:32160
19.61/1:36708
19.63/1:35943
19.64/3:4151
19.66/1:42327
19.7/12:14694
19.75/1:20264
19.77/2:17579
19.78/1:30079
19.8/15:8001
19.82/2:36084
19.85/1:8052
19.88/1:25981
19.9/19:5334
19.95/2:25692
190/14:3913
190)/1:27610
190,000/10:7107
190,400/1:37497
190,600/1:25557
190,677/1:30716
190,742/1:31287
190.0/1:20472
190.4/2:25185
190.8/1:40815
190.9/2:28555
1900/3:7314
1900gmt/1:24684
1904/1:41363
1905/1:5522
190p/1:16623
191/6:3277
191,000/3:720
191,200/1:38849
191,310/1:29620
191,465/1:36656
191,614/1:40872
191,840,000/1:38362
191.0/1:23378
191.1/1:3681
191.15/2:12844
191.5/1:28785
191.7/2:23367
191.8/1:16957
1912/1:24890
1914/1:24892
1915/1:35347
192/9:16662
192,000/3:13690
192,069/1:27180
192,370/1:33628
192,430)/1:15117
192,710/1:19595
192,896/1:16968
192.0/1:23173
192.9/1:9710
1928/1:17232
1929/1:32182
193/2:34605
193,060/1:31420
193,100/1:38369
193,193/1:10678
193,294/1:21276
193,400/1:38374
193,799/1:36657
193.0/1:37833
193.2/1:34882
193.4/3:11042
193.6/1:13125
193.8/1:25872
1930/3:35280
1930s,/2:38674
1932/1:40987
1934/3:10943
1935/1:3948
1937/1:41364
194/1:19323
194,000/4:13236
194,400/1:38370
194,531/1:30480
194,697/1:39722
194,842/1:34247
194.3/2:33756
194.33/1:31124
194.6/1:19123
1940/2:26280
1940s/1:37494
1945/1:24899
1945,/1:31735
1946/1:13139
195/8:24019
195,000/6:1618
195,000,000/1:35283
195,100/1:37498
195,202/1:530
195.3/1:31756
195.5/1:10638
195.9/1:40816
1950/1:17681
1950's/1:41495
1950s/3:20295
1950s,/1:30047
1951/1:7884
1953/5:9733
1954/1:27201
1955/3:22932
1956/1:41110
1956--and/1:41122
1957/1:37641
1958/3:3435
1959/1:25699
196/3:16864
196)/1:27623
196,000/3:22502
196,043/1:30483
196,265/1:33375
196,309/1:10294
196,610/1:38738
196,868/1:8914
196,873/1:19307
196,986/1:33569
196-274/1:17176
196.2/2:24451
196.27/1:24029
196.3/1:38131
196.4/2:14809
196.5/1:38079
196.61/1:24028
1960/5:31557
1961/2:35603
1962/1:36215
1963/3:12985
1965/3:25342
1966/1:23803
1967/5:10467
1968/3:12893
1969/2:12426
1969-71/1:39743
197/2:19949
197,000/2:42534
197,779/1:18337
197.0/1:40090
197.2/1:7488
197.40/1:35149
197.5/2:37992
197.7/2:35134
1970/13:12654
1970's/1:16466
1970s/9:6519
1971/3:16271
1971-73/1:15500
1972/3:18037
1972-73/1:5976
1973/2:10524
1973-74/1:33046
1974/10:2681
1975/9:1731
1975/76/1:40060
1976/11:6496
1977/11:17585
1977/78/1:30065
1978/20:7150
1978)/1:23635
1978/79/1:13363
1978/79)/1:29599
1979/22:2515
1979,/1:3044
1979-81/2:36273
1979/80/1:36022
198/5:30099
198,000/3:11416
198,185/1:15283
198,290/1:39394
198,555/1:38507
198,919/1:30899
198.3/1:17816
198.7/1:18808
198.8/1:36991
1980/72:2254
1980's/2:38763
1980-84/2:37493
1980-86/1:34266
1980s/6:26347
1980s./1:24020
1981/39:3625
1981,/1:30015
1981-1983/1:35570
1981/82/1:38875
1982/39:3949
1982-84/2:5974
1982/83/1:37436
1983/50:1647
1983-84/2:24563
1983-88/1:29432
1983/84/1:19242
1983/85/1:22518
1984/93:1146
1984-1985/1:30192
1984-85/2:19637
1984/85/11:3513
1985/736:594
1985)/2:41164
1985,/1:37759
1985-1986/2:30191
1985-86/1:35663
1985-89/1:28704
1985./2:23158
1985/86/88:3511
1986/1674:348
1986)/3:16860
1986)./1:20179
1986,/4:12593
1986-1987/1:30189
1986-1988/1:25291
1986-1990/2:12873
1986-87/3:11074
1986-88/1:19420
1986-90/2:26569
1986-april/1:7859
1986-crop/2:15205
1986-peanut/1:15210
1986./4:13345
1986/7/1:35056
1986/87/157:222
1986/june/1:38228
1987/839:688
1987"/1:38389
1987),/2:14000
1987,/12:8872
1987-1989/1:25290
1987-1991/1:33686
1987-89/3:9590
1987-92/1:38811
1987-june/1:41613
1987./6:6309
1987/1988/1:42796
1987/88/82:224
1987/88,/1:22648
1987/88./1:34682
1988/186:3050
1988,/4:20938
1988-1992/1:34265
1988-90/1:18959
1988-92/1:42279
1988./4:22740
1988/1989,/1:20981
1988/89/3:7190
1988/89,/1:33509
1989/54:4323
1989,/3:7836
1989./1:42258
1989/90/1:19019
199/1:12382
199,000/2:20859
199,037/1:18634
199,944/1:16089
199.0/1:9232
199.3/2:11216
199.4/1:42083
199.6/1:32934
199.67/1:15390
1990/61:1949
1990-91/1:10771
1990s/8:14838
1991/20:8974
1992/22:2944
1992/93/1:38759
1993/9:4527
1994/4:33028
1995/9:4528
1995,/2:35213
1996/2:22831
1997/9:11370
1999/3:5050
1999-2000/1:29182
19p/1:40000
19th/1:24231
1p/1:39959
1sr/1:30845
1st/251:393
2/75:4076
2,000/25:1617
2,000)/1:16070
2,000,000/1:8021
2,000,565/1:36660
2,000,732/1:31569
2,001,000/3:32034
2,001,107/1:16363
2,002,261/1:35231
2,003,000/1:37205
2,003,661/1:26817
2,005,000/1:33917
2,006,000/1:23844
2,008/1:26876
2,008,103/1:34328
2,010,972/1:24645
2,011,754/1:17982
2,012,000/1:35573
2,015,000/1:34703
2,015,953/1:29813
2,019,930/1:13746
2,020,000/1:37785
2,021,000/2:12328
2,024,116/1:21830
2,026,000/1:32477
2,026,017/1:2773
2,030,390/1:27235
2,033,000/1:31989
2,033,425/1:30444
2,033,750/1:33708
2,035/1:32587
2,035,000/1:30768
2,035,759/1:36345
2,036,000/1:39821
2,039,000/1:22122
2,041,000/2:35010
2,044,882/1:16376
2,048,0000/1:1835
2,050/3:12703
2,051,000/4:5436
2,051,178/1:13789
2,052,000/1:41467
2,055,000/1:18802
2,056,000/1:1595
2,058,000/1:26780
2,061,000/1:36650
2,061,102/1:33910
2,062,000/1:14265
2,064/2:7217
2,071,000/1:20367
2,071,676/1:32265
2,072,153/1:14116
2,073,000/1:42851
2,075,000/2:20816
2,075,260/1:12300
2,076,000/1:13248
2,076,620/1:13362
2,083/1:28270
2,086,477/1:10849
2,087,000/1:10683
2,088,461/1:34761
2,089,000/1:27780
2,090,724/1:34372
2,091,000/2:40271
2,092,000/1:40817
2,093,000/1:32507
2,095/1:28466
2,097,000/1:34194
2,098,000/1:37266
2,098,602/1:9138
2,099,000/2:23253
2,100/2:17914
2,100,000/6:16103
2,101,000/1:41655
2,102,000/2:34841
2,103,000/1:20206
2,104,000/1:36502
2,104,840/1:24655
2,108,000/1:35389
2,112/1:24254
2,112,000/1:39820
2,114,000/1:42791
2,115,000/2:35820
2,115,662/1:32264
2,118,000/1:33888
2,120,000/1:27835
2,120,027/1:36837
2,120,908/1:8330
2,121)/1:15103
2,122,000/2:23900
2,123,000/2:17326
2,123,488/1:33649
2,124,000/2:20314
2,124,013/1:11851
2,124,967/1:12331
2,124,983/1:13780
2,127,334/1:15001
2,129,000/1:26781
2,132,073/1:34039
2,133,000/1:17119
2,135,315/1:22733
2,135,909/1:27165
2,136,000/1:31937
2,138,000/3:31045
2,139,991/1:13788
2,140/1:4201
2,140,673/1:9029
2,142,118/1:42604
2,144,000/1:39102
2,144,317/2:27441
2,145,000/1:28046
2,145,967/1:30628
2,148,656/1:17903
2,149,000/2:24578
2,150/1:41327
2,150,000/2:15413
2,151,130/1:20497
2,157,895/1:19678
2,158,709/1:6192
2,160,717/1:18081
2,161,000/1:40625
2,164,000/1:37829
2,165/1:22305
2,165,300/1:23602
2,167,631/1:33483
2,168,000/1:12289
2,169/1:16858
2,170,628/1:17939
2,171,011/1:37896
2,173,000/2:31033
2,176,000/3:39537
2,176,925/1:30285
2,177,553/1:21781
2,178,000/1:20927
2,179,000/1:33890
2,180,000/1:31694
2,180,608/3:19708
2,181,000/1:37045
2,181,082/1:18002
2,181.5/1:39558
2,184,000/1:36246
2,188,678/1:34255
2,188,933/1:23997
2,189/1:42707
2,189,000/1:8695
2,191/1:27895
2,191,000/1:29663
2,193,000/1:28890
2,194,000/2:16354
2,194,242/1:10669
2,195,000/1:33459
2,198,000/1:37788
2,198,469/1:29236
2,199,000/1:27525
2,200/2:28728
2,200,000/5:8617
2,200-teu/1:21347
2,203,462/1:33906
2,204/1:32105
2,205/1:17910
2,206,017/1:13782
2,211,000/1:36338
2,212,000/1:26770
2,213/1:10820
2,219,000/2:36913
2,223/2:24266
2,223,000/1:42603
2,224,000/1:39547
2,227,000/2:17554
2,228,000/2:22507
2,232,400/1:18745
2,234/1:29566
2,234,049)/1:15107
2,234,768/1:42605
2,236,471/1:15244
2,238,000/1:29747
2,239/1:32889
2,240/2:25090
2,240,000/1:29664
2,241,000/1:36454
2,242,000/1:23674
2,243,377/1:38509
2,245,000/1:28780
2,246,000/2:32497
2,247,374/1:27234
2,250/2:18332
2,250,000/2:22751
2,250,781/1:39346
2,252,246/2:42071
2,253,000/1:42862
2,253,143,000/1:12069
2,253,664/2:33931
2,253,742/1:29790
2,254,000/1:37204
2,257,000/2:3320
2,258,216/1:32872
2,258,341/1:21779
2,266,000/3:22913
2,267,000/2:18801
2,267,900,000/1:35094
2,269,000/1:36337
2,273/1:35882
2,273,000/2:27676
2,274,000/1:36253
2,275,000/2:13958
2,276,000/3:19842
2,278,083/1:27580
2,278,842/1:33631
2,281,000/2:31056
2,283,811/1:27976
2,285,000/3:12338
2,286,000/1:31532
2,287,179/3:27273
2,291,210/1:8956
2,292,599/2:25234
2,292,972/1:19677
2,293,000/1:10655
2,295,230/1:18001
2,297,000/1:41020
2,299,000/1:34910
2,299,764/1:28957
2,300/3:28646
2,300)/1:27931
2,300,000/5:7687
2,300-mile-long/1:11069
2,301,000/1:34743
2,303,000/2:23843
2,309,000/1:13247
2,309,181/1:41549
2,309,979/1:33377
2,310,200/1:36248
2,312,000/3:27796
2,313/1:25573
2,313,000/2:21007
2,314,000/1:21259
2,315,000/1:41952
2,316,940/1:40790
2,317,000/2:22675
2,319,376/1:31770
2,322/1:38032
2,322,000/1:16170
2,323,000/2:17071
2,323,500/1:40197
2,325/1:215
2,325,000/1:34339
2,330,000/2:22789
2,332,397/1:27667
2,335,000/1:42843
2,336,000/3:13415
2,337,000/1:11180
2,341,818/1:35073
2,344,200/1:24051
2,345,000/1:22411
2,345,261/1:37915
2,346,000/1:18007
2,348/1:40474
2,348,559/1:33654
2,350,000/1:37289
2,351,000/1:41955
2,355,000/1:41953
2,356,000/1:42844
2,359,978/1:24617
2,360,048/1:22091
2,360,220/1:19888
2,364/1:36488
2,364,000/2:13856
2,364,280/1:34256
2,365,000/1:34403
2,368,000/1:30861
2,369,000/1:30508
2,369,799/1:40791
2,369,949/1:33909
2,371,000/1:32718
2,372,457/1:4186
2,373,358/1:23371
2,374/1:38721
2,374,000/3:7923
2,375/1:217
2,375,000/1:37175
2,375,844/2:33825
2,376,000/1:8694
2,376,604/1:39397
2,380/1:216
2,381,000/2:34903
2,382,000/1:35049
2,383,000/1:16352
2,388,000/1:26769
2,389,000/1:24414
2,390,000/1:12196
2,391,000/1:5740
2,392,000/1:32356
2,393,000/2:12315
2,393,622/2:31702
2,394/1:30173
2,394,198/1:41663
2,396,000/1:36451
2,399/1:38722
2,400/3:219
2,400,000/4:13684
2,401,518/1:14221
2,403,481/1:34307
2,405,000/1:35215
2,407,000/1:19502
2,407,186/1:28071
2,408,000/2:10928
2,408,766/2:27155
2,410,000/3:17996
2,413,000/2:21269
2,413,407/1:22090
2,414,500/1:8348
2,415,492)/1:15080
2,416/1:7807
2,417/1:14932
2,419,203/1:30627
2,420,000/1:33316
2,421,000/2:3302
2,422,000/1:39067
2,423,000/1:27036
2,425,000/1:26893
2,426,000/1:32715
2,429,200/1:16062
2,429,563/1:34999
2,429,576/1:23667
2,429.83/1:7205
2,432,000/1:37218
2,432,179/1:15243
2,432,256/1:40639
2,433,000/2:21861
2,435/1:6005
2,437,000/1:20471
2,437,489/1:39262
2,437,914/2:30492
2,438,000/1:33887
2,440,083/2:31711
2,440,100/2:31705
2,440,850/1:38510
2,441,000/2:23097
2,442,000/1:12408
2,443,810/1:39343
2,444,260/1:15106
2,445,000/1:4959
2,445,423/1:42273
2,446,100/1:36938
2,446,901/1:36667
2,448,000/2:11597
2,448.0/1:39557
2,450,598/1:28165
2,452,3000/1:31821
2,454/1:39797
2,454,000/4:16169
2,454,521/1:13243
2,455,000/2:4904
2,455.5/1:16507
2,456,616/1:2581
2,460,000/3:8200
2,462,000/1:30345
2,463,000/1:36808
2,463,214/1:1825
2,464,000/1:32434
2,465,996/1:732
2,466/1:16501
2,466,000/2:27893
2,466,0000/1:37934
2,467,000/2:12340
2,468,605/1:33487
2,470,000/1:30532
2,472,532/1:34258
2,472,582/1:17320
2,472,676/1:29218
2,474,357/1:31906
2,474,820/1:10706
2,475,436/1:17990
2,475,739/1:17316
2,475,943/1:35512
2,476,000/1:38273
2,476,068/1:2774
2,477,000/1:36303
2,480,000/2:16168
2,481,784/1:10670
2,482,197/1:2584
2,485,510/1:37225
2,486/1:28470
2,487,000/1:23478
2,487,439/1:12010
2,489,978/1:28146
2,490,262/1:12282
2,492,000/1:41954
2,493,000/1:21944
2,494,900/1:23232
2,494.049/1:31001
2,496,000/1:31880
2,498,000/1:22074
2,500/11:2370
2,500,000/8:18697
2,500/1,500/1:14602
2,500/4,000/1:14617
2,502,443/1:28143
2,502,868/1:34035
2,503,000/1:31942
2,503,451/1:34198
2,505,978/1:24034
2,506,000/1:32843
2,506,250/1:30204
2,507,000/3:34000
2,509,000/1:28131
2,509,832/1:1826
2,510,000/2:33356
